City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['1603160'],['160239701003'],[6.833333333333333],[2.780790639810032],[0.9640074218008112],[1.39182136638697],[1.0096409092233347],[0.8917664168780147],[0.726090726542612],[0.4004640538217691],[-99999.0],[17.0],[20.0],[1.0],[1.0]
['1611710'],['160239701003'],[6.833333333333333],[6.131377634406044e-08],[2.1255442465940952e-08],[3.0688331134257944e-08],[2.22616172572281e-08],[0.8917664168780147],[0.726090726542612],[0.4004640538217691],[-99999.0],[17.0],[20.0],[1.0],[1.0]
['1656260'],['160270204021'],[7.499999999999999],[791.402634111194],[480.7675422197229],[302.0328893467842],[302.0328893467842],[0.3668294387042228],[0.6770781145073702],[61.01546039680111],[-99999.0],[16.0],[5.0],[11.0],[1.0]
['1656260'],['160270204023'],[17.333333333333332],[1246.9999999999998],[369.99999999999994],[364.99999999999994],[364.99999999999994],[0.7298450774759185],[0.4584546187304396],[275.7966919230632],[237.38],[9.0],[17.0],[20.0],[19.0]
['1656260'],['160270204025'],[8.666666666666668],[2326.7284987687367],[864.8442150951452],[774.6162947633542],[774.6162947633542],[0.5651664591339871],[0.5757971142751802],[92.45455155571317],[-99999.0],[12.0],[10.0],[14.0],[1.0]
['1656260'],['160270204014'],[6.166666666666667],[857.6239079407956],[420.81546065626446],[312.8628009154651],[312.8628009154651],[0.4618810171172773],[0.6170055673755547],[24.539678031600992],[-99999.0],[14.0],[7.0],[7.0],[1.0]
['1656260'],['160270204011'],[14.5],[1259.2585621584878],[577.6860790164228],[452.4398534817698],[408.7493096906117],[0.723198335253041],[0.8248327151272073],[38.858010788088535],[300.41],[19.0],[16.0],[8.0],[18.0]
['1612250'],['160270215002'],[16.666666666666664],[739.0],[324.0],[298.0],[267.0],[0.8096693859614191],[0.595142727656217],[167.928999846014],[446.59],[13.0],[19.0],[18.0],[16.0]
['1612250'],['160270218002'],[4.333333333333333],[132.56574464919714],[37.87592704262776],[45.0110048481932],[45.0110048481932],[0.32096316942901293],[0.5491148326559803],[5.298755613974668],[-99999.0],[12.0],[4.0],[4.0],[1.0]
['1660940'],['160270221003'],[5.333333333333333],[89.37427906752441],[33.115682618716455],[38.29238702807903],[34.562114733097175],[0.42096554553149595],[0.6344232718484214],[11.09676815510623],[-99999.0],[14.0],[6.0],[5.0],[1.0]
